id	marque	designation	annee	km	prix
922	renault	Renault espace III.2.2dti 115cv.7pl	1998	270000	3100
923	ford	Gd scenic 2.0 dci 150 jade&virgule;cuir&virgule;gps couleur&virgule;t.pano	2006	94000	14500
924	audi	Audi a8 v6tdi 2.5l 150cv 9800euro	1998	236000	9800
925	renault	Renault Clio III RS Sport 2.0 16S 200ch	2006	44000	13900
926	renault	Clio sport 2.0 l rs 200 ch	2007	32000	13900
927	renault	Laguna 2.2 dci 150 ch privilege	2002	110000	7200
928	renault	Megane cc luxe privilege 1.9 dci 120ch ss côte	2006	68000	13700
929	renault	Laguna 2.2 dci 150 ch privilege	2002	110000	7200
930	renault	Megane cc luxe privilege 1.9 dci 120ch ss côte	2006	68000	13700
931	renault	Renault Kangoo 4X4 1&virgule;9 l dci 85 ch Privilège	2005	173300	6800
932	renault	Laguna 1.9 dci 120ch gps xenon	2001	127000	5500
933	mercedes	Pt cruiser touring 2.2 crd	2003	81000	8500
934	volkswagen	T 5 multivan 174cv haut de gamme	2003	195860	19600
935	audi	Audi A4 1&virgule;9 TDI	2003	135000	10500
936	opel	Opel ASTRA cosmo 1.9 CDTI 120	2005	119000	9100
937	alfa romeo	Alfa romeo 156 1.9 jtd	2001	192000	4500
938	renault	Renault espace iv	2003	160000	8000
939	audi	Audi A4 2.5 TDI quattro 150 cv	1999	150000	8900
940	renault	Renault megane 1.9dci 120ch	2003	179000	5400
941	renault	Espace 2&virgule;2 dci 115 expression	2002	116000	7490
942	mini	Peugeot 407 2.0 HDI 16v Executive Pack FAP 136cv	2004	110000	8590
943	peugeot	407 hdi 2.0 136cv	2005	122000	8800
944	audi	Audi a6 2.0 tdi	2006	174000	14900
945	renault	Scénic 2 - 1.9 DCI Luxe Privilège	2004	120000	7900
946	peugeot	Peugeot 307 HDI 5 Portes	2003	110000	7000
947	renault	Scénic aigle 1&virgule;9dci 105 cv	2002	181000	5200
948	ford	A saisir ford kuga occasion	2009	14900	22995
949	peugeot	Belle Peugeot 806 2.0l hdi	2000	168000	8500
950	citroen	C5 BVA 2.2HDI 136cv 2002 FULL 105000Km 7300\u0080 Grtie	2002	99999	7300
951	fiat	Fiat stilo 1.9 jtd 140ch 2005 153500km 5490\u0080	2005	153500	5490
952	citroen	Picasso 2.0 hdi 90cv	2000	207000	3700
953	skoda	Skoda octavia tdi	2006	58772	10900
954	citroen	Xsara exclusive 2.0 hdi 110cv bva affaire	2003	128000	4490
955	renault	Renault scenic ii	2006	66000	11000
956	renault	Scenic 1.9 dci	2005	55000	8500
957	renault	Grand espace 4	2004	65000	12900
958	renault	Jolie renault scenic 1.9 dci 120cv luxe privilege	2003	152000	5990
959	volkswagen	Volkswagen Touran - 1.9 tdi 105 match 7pl	2006	79300	15000
